symbol,C1,C2,C3,T1,T2,T3
SIK2,1418,1239,1326,1689,1710,1774
SIK3,867,775,690,845,708,810
SIKE1,746,633,806,690,704,689
SIL1,1971,1680,1899,1335,1672,1877
SILC1,2,0,0,2,0,0
SIM1,0,0,0,0,0,0
SIM1-AS1,0,0,0,0,0,0
SIM2,18,34,27,28,70,32
SIMALR,0,0,0,0,0,0
SIMC1,753,667,731,713,616,690
SIMC1P1,101,73,82,75,77,82
SIN3A,1320,1188,1709,1498,1984,2107
SIN3B,1582,1243,1386,1622,1451,1615
SINHCAF,534,530,622,662,664,683
SIPA1,1674,1457,1493,2433,2364,2606
SIPA1L1,2428,2031,2275,1504,1578,1676
SIPA1L1-AS1,30,16,30,12,17,23
SIPA1L2,1628,1516,1472,1741,1483,1718
SIPA1L3,2182,1844,2049,3140,2843,3265
SIRLNT,0,0,0,0,0,0
SIRPA,130,117,136,121,124,142
SIRPB1,0,4,0,7,6,11
SIRPB2,0,0,0,0,0,0
SIRPB3P,0,0,0,0,0,0
SIRPD,0,0,0,0,0,0
SIRPG,0,0,0,0,0,0
SIRPG-AS1,0,0,0,0,0,0
SIRT1,431,400,513,375,383,454
SIRT2,790,682,791,635,599,692
SIRT3,642,575,625,727,701,664
SIRT4,44,38,51,29,36,53
SIRT5,640,613,650,487,527,593
SIRT6,1129,926,995,1268,1181,1442
SIRT7,3466,2975,3454,2458,2351,2803
SIT1,0,0,0,0,0,0
SIVA1,697,625,644,660,631,698
SIX1,8,0,6,5,14,16
SIX2,34,24,31,33,19,34
SIX3,0,0,0,0,0,0
SIX3-AS1,0,0,0,0,0,0
SIX4,278,267,319,560,528,509
SIX5,768,676,694,695,614,712
SIX6,0,0,0,0,0,0
SKA1,20,17,16,2,2,2
SKA2,339,299,405,243,244,240
SKA3,31,44,53,18,4,6
SKAP1,5,0,3,5,0,4
SKAP1-AS2,0,0,0,3,0,1
SKAP2,591,279,313,570,585,600
SKI,1520,1142,1334,1059,971,1051
SKIC2,506,416,452,388,378,406
SKIC3,2971,2522,2964,2426,2459,2622
SKIC8,853,768,850,551,534,625
SKIDA1,0,0,0,0,0,0
SKIL,112,136,126,318,303,305
SKINT1L,3,4,3,5,3,0
SKOR1,7,18,16,17,18,17
SKOR1-AS1,0,0,0,0,0,0
SKOR2,0,0,0,0,0,0
SKP1,6351,5931,6738,5380,5236,5631
SKP1P2,10,4,5,2,3,5
SKP2,223,243,266,148,212,173
SLA,0,0,0,0,0,0
SLA2,0,2,4,4,0,8
SLAIN1,874,774,814,631,614,746
SLAIN2,1612,1229,1606,1368,1203,1287
SLAMF1,0,0,0,0,4,0
SLAMF6,2,0,4,0,2,6
SLAMF7,0,0,9,0,0,2
SLAMF8,54,55,54,58,60,44
SLAMF9,224,186,229,93,49,78
SLBP,1047,992,1118,819,749,808
SLC10A1,2,2,2,3,0,0
SLC10A2,0,0,0,0,0,0
SLC10A3,819,713,763,316,702,720
SLC10A4,0,4,0,0,2,2
SLC10A5,13,19,15,23,24,19
SLC10A6,0,0,0,0,0,0
SLC10A7,254,247,312,260,239,244
SLC11A1,8,26,21,20,20,18
SLC11A2,2664,2456,2658,4872,5209,4721
SLC12A1,0,0,0,0,0,0
SLC12A2,1685,1366,1621,1451,1545,1557
SLC12A2-DT,569,473,537,421,341,439
SLC12A3,0,0,0,0,0,0
SLC12A4,2259,1751,2003,1584,1420,1612
SLC12A5,0,0,0,0,0,2
SLC12A5-AS1,0,0,0,0,0,0
SLC12A6,618,571,678,939,976,508
SLC12A7,3940,3261,3593,2528,1724,2906
SLC12A8,1097,891,830,834,798,919
SLC12A9,961,715,859,581,609,688
SLC12A9-AS1,0,4,2,4,2,2
SLC13A1,0,0,0,0,0,0
SLC13A2,6,4,8,12,7,16
SLC13A3,612,526,639,487,443,493
SLC13A4,7,14,5,11,11,4
SLC13A5,0,0,0,0,0,0
SLC14A1,24,25,30,4,9,3
SLC14A2,0,0,0,0,0,0
SLC14A2-AS1,0,0,0,0,0,0
SLC15A1,1384,1064,1191,772,759,691
SLC15A2,265,262,274,351,346,305
SLC15A3,4,0,6,44,52,66
SLC15A4,800,905,1074,1049,1072,1155
SLC15A5,0,0,0,0,0,0
SLC16A1,2182,2418,2742,1444,1450,1555
SLC16A1-AS1,3,5,3,3,2,6
SLC16A10,23,12,30,23,27,12
SLC16A11,23,18,25,25,38,39
SLC16A12,0,0,0,0,0,0
SLC16A12-AS1,0,0,0,0,0,0
SLC16A13,631,489,647,490,499,639
SLC16A14,12,22,13,5,0,4
SLC16A2,42,34,64,74,68,79
SLC16A3,11287,9799,10628,21771,22379,24764
SLC16A4,34,54,42,33,24,35
SLC16A5,6308,5531,5922,3810,3477,3783
SLC16A6,1,0,0,0,0,6
SLC16A7,0,2,0,0,2,0
SLC16A8,46,33,46,23,33,36
SLC16A9,23,23,33,13,18,14
SLC17A1,0,0,0,0,0,0
SLC17A2,0,0,0,0,0,0
SLC17A3,0,0,0,0,0,0
SLC17A4,0,0,2,1,0,2
SLC17A5,1558,1200,1444,1445,1465,1728
SLC17A6,0,0,0,0,0,0
SLC17A6-DT,0,0,1,0,0,0
SLC17A7,0,2,2,0,2,4
SLC17A8,0,0,0,0,0,0
SLC17A9,15,4,5,16,19,16
SLC18A1,0,0,0,0,0,0
SLC18A2,20,19,18,24,21,25
SLC18A2-AS1,0,0,0,0,0,0
SLC18A3,0,0,0,0,0,0
SLC18B1,747,651,735,980,1012,1097
SLC19A1,121,96,108,132,108,135
SLC19A2,403,346,393,320,360,372
SLC19A3,67,78,65,44,32,36
SLC1A1,2370,2141,2359,2010,1847,2044
SLC1A2,0,0,2,2,0,0
SLC1A2-AS1,0,0,0,0,0,0
SLC1A2-AS2,0,0,0,0,0,0
SLC1A3,17,12,15,10,12,20
SLC1A3-AS1,0,2,0,2,0,0
SLC1A4,3996,3515,3955,561,524,656
SLC1A5,27879,24951,26822,8636,8024,9101
SLC1A6,0,0,0,0,0,0
SLC1A7,7,0,2,2,5,6
SLC20A1,1998,1586,1894,1051,909,1000
SLC20A1-DT,0,8,4,2,5,2
SLC20A2,3475,2923,3250,2390,2239,2710
SLC22A1,6,2,3,0,1,0
SLC22A10,0,0,0,0,0,0
SLC22A11,0,0,0,0,0,0
SLC22A12,0,0,0,0,0,0
SLC22A13,9,6,7,12,14,8
SLC22A14,12,4,4,8,17,13
SLC22A15,102,76,91,31,19,46
SLC22A16,0,0,2,0,0,0
SLC22A17,191,191,214,279,220,235
SLC22A18,3209,2830,3062,2096,1986,2190
SLC22A18AS,93,86,85,50,70,60
SLC22A2,0,0,0,0,0,0
SLC22A20P,11,21,32,15,23,16
SLC22A23,7254,5803,6823,7295,6704,7770
SLC22A24,0,0,0,0,0,0
SLC22A25,0,0,0,0,0,0
SLC22A3,1382,1195,1439,699,690,755
SLC22A31,11,2,12,3,2,0
SLC22A4,20,12,4,44,43,34
SLC22A5,997,819,883,1061,1026,1070
SLC22A6,0,0,0,0,0,0
SLC22A7,0,0,0,0,0,0
SLC22A8,0,0,0,0,0,0
SLC22A9,0,0,0,0,0,0
SLC23A1,22,11,24,37,23,27
SLC23A2,1013,854,882,556,529,517
SLC23A3,42,42,57,50,50,58
SLC24A1,565,565,527,514,523,479
SLC24A2,0,0,0,0,0,0
SLC24A3,6,2,4,4,12,4
SLC24A3-AS1,0,0,0,0,0,0
SLC24A4,0,0,2,0,0,0
SLC24A5,6,18,0,0,5,0
SLC25A1,8459,6795,7835,4361,4035,4748
SLC25A10,1867,1406,1494,1574,1365,1739
SLC25A11,1409,1180,1242,912,785,943
SLC25A12,200,167,172,82,91,117
SLC25A13,996,860,985,616,674,611
SLC25A14,148,120,126,128,142,150
SLC25A15,161,169,192,112,123,117
SLC25A16,341,244,346,210,207,260
SLC25A17,474,424,505,406,399,438
SLC25A18,12,11,12,10,12,17
SLC25A19,129,94,115,40,63,61
SLC25A2,0,2,0,0,0,0
SLC25A20,871,781,907,608,590,752
SLC25A21,21,13,20,0,4,7
SLC25A21-AS1,37,42,40,27,22,19
SLC25A22,1516,1266,1324,683,1030,1398
SLC25A23,5804,4668,5553,8513,7592,9087
SLC25A24,1295,1044,1332,1035,984,1078
SLC25A25,1728,1516,1625,1018,995,1060
SLC25A25-AS1,363,240,278,818,885,877
SLC25A26,206,175,181,192,194,210
SLC25A27,153,113,125,120,121,97
SLC25A28,964,804,911,1282,1278,1519
SLC25A28-DT,2,0,0,0,0,2
SLC25A29,1663,1304,1373,1266,1486,1527
SLC25A3,17904,15100,17011,15222,14889,16759
SLC25A30,250,185,283,133,116,130
SLC25A30-AS1,2,0,0,4,0,3
SLC25A31,0,0,0,0,0,0
SLC25A32,279,285,274,199,184,179
SLC25A33,127,128,126,114,98,111
SLC25A34,50,35,43,17,24,9
SLC25A34-AS1,0,0,0,0,0,0
SLC25A35,183,129,184,77,62,92
SLC25A36,1718,1648,1703,355,349,1271
SLC25A37,2962,2392,1404,3616,3359,5451
SLC25A38,936,829,919,992,1087,1150
SLC25A39,4931,3954,4308,3482,3301,3837
SLC25A3P1,0,0,0,0,0,0
SLC25A4,1708,1386,1588,858,825,1015
SLC25A40,241,226,243,384,365,354
SLC25A41,0,6,2,4,0,2
SLC25A42,293,284,292,229,202,278
SLC25A43,615,496,620,333,341,413
SLC25A44,1519,1206,1251,951,829,1057
SLC25A45,47,26,40,145,129,107
SLC25A46,995,921,1124,872,874,927
SLC25A47,5,0,0,10,0,0
SLC25A48,22,19,31,18,16,10
SLC25A48-AS1,0,0,0,0,0,0
SLC25A5,11403,9719,10631,6631,6789,7447
SLC25A5-AS1,37,36,52,28,29,19
SLC25A51,129,103,117,66,44,85
SLC25A51P1,0,0,0,0,0,0
SLC25A51P4,0,0,0,0,0,0
SLC25A52,0,0,0,0,0,0
SLC25A53,0,2,2,2,0,0
SLC25A6,8604,7356,7988,6720,6464,7204
SLC26A1,120,94,137,62,71,77
SLC26A10P,0,0,0,0,0,0
SLC26A11,47,78,68,261,219,219
SLC26A2,67,46,71,27,25,43
SLC26A3,0,4,0,0,2,0
SLC26A4,4,8,0,74,111,107
SLC26A4-AS1,0,0,0,8,6,5
SLC26A5,12,13,2,2,3,3
SLC26A5-AS1,0,0,0,0,0,0
SLC26A6,963,801,825,633,682,773
SLC26A7,0,2,2,0,2,0
SLC26A8,6,4,4,2,11,6
SLC26A9,127,98,82,2,12,8
SLC26A9-AS1,2,33,17,0,0,0
SLC27A1,1883,1477,1538,1951,1872,1981
SLC27A2,526,533,568,233,240,298
SLC27A3,328,254,333,348,303,372
SLC27A4,1130,897,926,501,513,577
SLC27A5,167,135,176,86,85,112
SLC27A6,0,0,0,0,0,0
SLC28A1,0,6,4,30,29,42
SLC28A2,0,0,0,5,4,0
SLC28A2-AS1,0,0,0,0,2,0
SLC28A3,801,714,876,808,914,944
SLC28A3-AS1,0,0,1,0,2,0
SLC29A1,1778,1415,1780,4130,3967,4634
SLC29A2,1402,1070,1262,862,789,1068
SLC29A3,376,306,418,762,640,728
SLC29A4,152,149,163,213,177,235
SLC2A1,10695,8705,9410,5624,5447,5804
SLC2A1-DT,44,22,37,29,19,36
SLC2A10,2120,1869,2255,2336,2184,2335
SLC2A11,148,157,155,88,106,106
SLC2A12,99,97,164,208,210,240
SLC2A13,233,183,253,390,335,323
SLC2A14,0,0,0,0,0,0
SLC2A2,0,0,0,0,0,0
SLC2A3,28,18,22,10,4,4
SLC2A4,0,0,1,4,4,5
SLC2A4RG,1110,873,896,658,636,794
SLC2A5,0,0,0,0,0,0
SLC2A6,164,144,158,318,311,299
SLC2A7,0,0,0,0,0,0
SLC2A8,508,402,395,416,446,479
SLC2A9,10,8,16,2,2,0
SLC2A9-AS1,0,0,1,0,0,0
SLC30A1,1277,1196,1556,1135,1077,1028
SLC30A10,0,0,0,0,0,2
SLC30A2,2,0,0,2,5,8
SLC30A3,10,3,0,0,0,0
SLC30A4,25,29,20,39,83,89
SLC30A4-AS1,89,84,141,458,503,489
SLC30A5,1595,1537,1802,1341,1379,1373
SLC30A6,743,638,783,645,640,680
SLC30A6-DT,6,0,10,2,2,0
SLC30A7,972,925,1050,1019,1061,1067
SLC30A8,0,0,0,0,0,0
SLC30A9,2385,2335,2546,2151,1968,2078
SLC31A1,5100,4782,5151,2387,2395,2630
SLC31A2,61,60,54,202,167,197
SLC32A1,0,2,0,0,0,0
SLC33A1,1465,1458,1474,1332,1254,1354
SLC34A1,0,0,0,0,0,0
SLC34A2,719,662,637,2780,2497,2660
SLC34A3,49,35,51,29,38,34
SLC35A1,758,628,732,545,558,555
SLC35A2,652,429,1217,344,710,570
SLC35A3,1121,1357,1366,1711,1672,1640
SLC35A4,1900,1591,1861,1303,1214,1385
SLC35A5,647,612,710,542,658,553
SLC35B1,1165,998,1050,800,791,812
SLC35B2,1872,1610,1742,1640,1780,1846
SLC35B3,1021,1037,926,1152,1316,1092
SLC35B4,377,323,327,248,276,322
SLC35C1,8752,7185,8626,7364,6874,8040
SLC35C2,2317,1374,1576,2084,2023,1528
SLC35D1,589,578,621,416,448,422
SLC35D2,2410,2219,1881,1905,2414,2031
SLC35D2-HSD17B3,29,17,3,36,19,104
SLC35D3,4,14,2,19,12,15
SLC35E1,3864,3643,3933,3734,3594,3860
SLC35E2A,718,647,673,807,910,909
SLC35E2B,2192,1870,2138,2804,2747,2873
SLC35E3,199,194,227,187,221,233
SLC35E4,332,307,321,337,318,378
SLC35F1,0,0,0,0,0,0
SLC35F2,574,488,563,408,359,381
SLC35F3,187,130,163,116,93,114
SLC35F3-AS1,0,2,0,0,0,0
SLC35F4,4,2,0,0,0,1
SLC35F5,2663,2128,2471,2338,2152,2153
SLC35F6,1409,1202,1372,829,854,890
SLC35G1,177,123,218,100,84,84
SLC35G2,250,187,220,355,321,401
SLC35G3,0,0,0,0,0,0
SLC35G4,0,0,0,0,0,0
SLC35G5,0,0,1,0,2,0
SLC35G6,2,2,0,0,0,0
SLC36A1,233,154,187,110,113,151
SLC36A2,0,0,0,0,0,0
SLC36A3,0,0,0,0,0,0
SLC36A4,175,143,213,236,254,256
SLC37A1,3952,3358,3548,4761,4639,5077
SLC37A2,10,14,18,36,25,32
SLC37A3,1757,1613,1749,1489,1437,1633
SLC37A4,792,728,631,1072,1112,1428
SLC38A1,4221,3955,4164,365,1265,1408
SLC38A10,4013,3284,6220,2714,2382,3123
SLC38A11,0,4,0,0,0,0
SLC38A2,6406,6166,6906,4264,4208,4718
SLC38A2-AS1,0,0,0,0,0,0
SLC38A3,87,72,59,11,11,2
SLC38A4,0,0,0,1,2,0
SLC38A4-AS1,115,97,110,108,101,84
SLC38A5,180,150,201,200,140,185
SLC38A6,93,74,109,109,103,133
SLC38A7,531,382,499,564,489,579
SLC38A8,0,0,2,0,0,0
SLC38A9,256,235,299,251,248,258
SLC39A1,4468,1208,4225,6011,5697,6517
SLC39A10,606,530,635,636,612,635
SLC39A11,1881,1630,1802,1176,1201,1213
SLC39A12,0,0,0,0,0,0
SLC39A12-AS1,0,0,0,0,0,0
SLC39A13,961,758,981,587,543,646
SLC39A13-AS1,0,2,0,0,0,0
SLC39A14,5880,5180,5968,4862,5021,5369
SLC39A2,2,0,0,0,2,0
SLC39A3,923,753,892,447,429,554
SLC39A4,261,228,200,146,138,174
SLC39A5,684,685,685,783,901,955
SLC39A6,924,821,1030,1090,1010,1130
SLC39A7,1794,1417,1704,1603,1536,1722
SLC39A8,250,240,223,165,199,169
SLC39A9,1852,1576,3472,3127,1555,1656
SLC3A1,41,256,245,221,158,121
SLC3A2,9156,8420,8271,1697,1610,1827
SLC40A1,6471,3879,4535,6819,10094,10649
SLC41A1,1496,689,1377,1024,944,1120
SLC41A2,682,584,670,582,646,664
SLC41A3,1470,1086,1375,1205,1172,1246
SLC43A1,787,653,686,133,127,157
SLC43A2,221,168,144,217,224,247
SLC43A3,45,27,46,65,39,55
SLC44A1,4014,4642,4202,4074,3411,3693
SLC44A2,6035,4763,5938,4951,4433,5482
SLC44A3,1966,1597,1708,1430,1447,1718
SLC44A3-AS1,521,421,508,675,701,831
SLC44A4,4098,3397,4223,5646,5165,5609
SLC44A5,0,0,0,0,0,0
SLC45A1,17,10,26,15,21,13
SLC45A2,0,0,0,0,0,0
SLC45A3,1850,1450,1608,1136,1119,1360
SLC45A4,4263,3615,2633,4616,4521,5223
SLC45A4-AS1,0,0,2,0,0,2
SLC46A1,614,606,598,518,525,510
SLC46A2,2,0,2,0,0,0
SLC46A3,162,205,219,102,109,126
SLC47A1,5,4,12,2,0,5
SLC47A1P2,0,0,0,0,0,0
SLC47A2,12,2,19,9,8,9
SLC48A1,592,490,416,346,339,452
SLC49A3,23,33,21,40,41,48
SLC49A4,791,641,751,846,751,854
SLC4A1,0,0,0,0,0,0
SLC4A10,0,0,0,0,0,0
SLC4A11,1110,801,942,835,640,862
SLC4A1AP,880,713,933,801,791,874
SLC4A2,3238,2484,2807,2973,2740,3341
SLC4A3,85,74,92,41,44,23
SLC4A4,1382,1289,1505,935,992,1001
SLC4A5,48,31,30,32,88,45
SLC4A7,246,182,238,157,121,121
SLC4A8,166,104,106,37,56,38
SLC4A8-AS1,0,0,0,0,0,0
SLC4A9,4,0,9,5,2,2
SLC50A1,8444,7722,8692,7047,6783,7584
SLC51A,11,11,12,20,15,14
SLC51B,0,0,0,0,0,0
SLC52A1,6,3,0,2,4,4
SLC52A2,1042,810,1000,633,621,710
SLC52A3,2328,2216,2343,3974,3765,3934
SLC5A1,1484,1226,1457,2518,2470,2619
SLC5A10,7,5,5,8,4,10
SLC5A11,0,0,0,1,0,0
SLC5A12,0,0,0,0,0,0
SLC5A2,49,36,48,96,91,100
SLC5A3,1954,1857,1985,1564,1716,1873
SLC5A4,0,0,0,0,0,0
SLC5A4-AS1,46,38,29,22,24,17
SLC5A5,17,14,30,38,37,37
SLC5A6,434,297,403,193,198,193
SLC5A7,0,0,0,0,0,0
SLC5A8,0,0,0,0,0,0
SLC5A9,40,23,58,37,30,27
SLC66A1,825,660,768,656,580,662
SLC66A1L,0,0,0,0,0,0
SLC66A2,2064,1799,1885,1798,1692,795
SLC66A3,711,738,792,474,479,515
SLC6A1,0,0,0,0,0,0
SLC6A1-AS1,0,0,0,0,0,0
SLC6A10P,0,0,0,2,0,0
SLC6A10PB,10,8,3,11,15,12
SLC6A11,0,0,0,0,0,0
SLC6A12,0,0,2,0,12,11
SLC6A12-AS1,0,0,0,0,0,0
SLC6A13,0,2,0,0,0,2
SLC6A14,2404,2003,2220,2960,3010,3098
SLC6A15,0,0,0,0,0,0
SLC6A16,12,6,17,17,13,7
SLC6A17,4,2,0,4,2,0
SLC6A17-AS1,0,0,0,0,0,0
SLC6A18,0,0,0,0,0,0
SLC6A19,0,0,0,0,0,0
SLC6A2,0,0,0,0,0,0
SLC6A20,3657,4373,5391,3403,3144,3938
SLC6A3,23,22,18,7,11,7
SLC6A4,0,0,0,2,0,0
SLC6A5,0,0,0,0,0,0
SLC6A6,3179,2483,1156,3090,2913,1165
SLC6A7,0,0,0,0,0,0
SLC6A8,12582,9687,10553,14492,14716,15044
SLC6A9,2122,1733,1909,531,522,642
SLC7A1,8015,6983,7665,2597,2229,2502
SLC7A10,0,0,0,0,0,0
SLC7A11,1982,1907,1939,705,663,691
SLC7A11-AS1,0,4,4,0,0,2
SLC7A13,0,0,0,0,0,0
